,date,code,open,high,low,close,preclose,volume,amount,pctChg
191,2016-10-19,sh.000300,3323.3040,3332.5200,3309.8310,3316.2410,3321.3320,10116772500,96354442199.0000,-0.153300
192,2016-10-20,sh.000300,3317.1790,3324.9030,3312.1740,3318.6040,3316.2410,7923887100,82481095277.0000,0.071300
193,2016-10-21,sh.000300,3315.7160,3341.5600,3309.1790,3327.7400,3318.6040,10978517600,107114926126.0000,0.275300
194,2016-10-24,sh.000300,3332.5120,3382.8260,3330.9670,3367.5780,3327.7400,15301434500,150063007899.0000,1.197100
195,2016-10-25,sh.000300,3367.4750,3373.9140,3356.5850,3367.4550,3367.5770,11119169300,110576512916.0000,-0.003600
196,2016-10-26,sh.000300,3365.1980,3367.8310,3349.5740,3354.8000,3367.4540,9802478600,104719318220.0000,-0.375800
197,2016-10-27,sh.000300,3351.4600,3352.3540,3335.1330,3345.6950,3354.8000,7762985100,85241012414.0000,-0.271400
198,2016-10-28,sh.000300,3347.1440,3370.7490,3337.2890,3340.1260,3345.6950,9313330900,104797971448.0000,-0.166500
199,2016-10-31,sh.000300,3332.4060,3340.4690,3317.3280,3336.2780,3340.1260,7135286300,80701820968.0000,-0.115200
200,2016-11-01,sh.000300,3338.7100,3359.3940,3334.4570,3359.0520,3336.2770,7493819900,84717683750.0000,0.682600
201,2016-11-02,sh.000300,3350.7100,3356.3970,3331.3840,3333.3520,3359.0510,9119710400,100348995733.0000,-0.765100
202,2016-11-03,sh.000300,3326.9050,3379.9890,3324.8380,3365.0850,3333.3520,12622350400,137386468361.0000,0.952000
203,2016-11-04,sh.000300,3362.2060,3377.6390,3348.4260,3354.1750,3365.0850,10406965500,110813764577.0000,-0.324200
204,2016-11-07,sh.000300,3353.4440,3362.7420,3342.3120,3356.5920,3354.1750,9987798800,94370876771.0000,0.072000
205,2016-11-08,sh.000300,3367.6980,3383.9170,3361.1290,3371.1180,3356.5910,10314828200,105138256061.0000,0.432800
206,2016-11-09,sh.000300,3370.6000,3373.0960,3322.0800,3353.0550,3371.1170,13911005900,145186921690.0000,-0.535800
207,2016-11-10,sh.000300,3374.9060,3403.0160,3374.9060,3390.6120,3353.0540,13470553500,133277399553.0000,1.120100
208,2016-11-11,sh.000300,3387.9480,3422.6710,3382.8930,3417.2210,3390.6110,19878149600,190647270040.0000,0.784800
209,2016-11-14,sh.000300,3409.2240,3452.6160,3408.1390,3430.2480,3417.2210,21324710500,208353308629.0000,0.381200
210,2016-11-15,sh.000300,3428.8660,3434.9220,3415.9950,3429.8700,3430.2480,13456632000,135206770523.0000,-0.011100
211,2016-11-16,sh.000300,3432.4340,3435.6370,3419.2430,3429.5920,3429.8690,12980851100,128944599173.0000,-0.008100
212,2016-11-17,sh.000300,3423.4650,3437.6690,3412.8770,3436.5350,3429.5920,12156173100,121576882948.0000,0.202400
213,2016-11-18,sh.000300,3437.4900,3443.1180,3413.2700,3417.4550,3436.5350,11595120500,117345607612.0000,-0.555200
214,2016-11-21,sh.000300,3412.6520,3463.1420,3412.0800,3441.1110,3417.4550,14643452900,147542589349.0000,0.692200
215,2016-11-22,sh.000300,3443.2200,3469.2190,3443.2200,3468.3640,3441.1100,16852344600,167250665827.0000,0.792000
216,2016-11-23,sh.000300,3473.8950,3492.9560,3465.7640,3474.7290,3468.3630,16238850400,171247116196.0000,0.183500
